,EASTERN REGION,,,,METROPOLITAN NORTH WEST REGION,,,,METROPOLITAN SOUTH EAST REGION,,,,NORTH EASTERN REGION,,,,NORTHERN REGION,,,,SOUTH WESTERN REGION,,,,WESTERN REGION,,,
DATE,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER
1/01/2016,0,1,0,5,0,7,0,7,1,9,0,3,0,3,0,2,0,1,0,1,0,2,0,0,0,1,0,0
2/01/2016,0,3,0,1,0,2,0,4,0,8,0,5,1,2,0,1,0,2,0,1,0,2,0,2,0,1,0,2
3/01/2016,0,1,0,5,0,3,0,6,0,7,0,4,0,2,0,3,0,0,0,3,0,2,0,1,0,2,0,4
4/01/2016,0,2,0,2,0,2,0,5,0,4,0,5,0,1,0,1,1,4,0,3,0,1,0,3,0,0,0,1
5/01/2016,0,1,0,6,1,2,0,7,0,6,0,7,0,6,0,2,0,0,0,3,0,3,0,1,0,2,0,1
6/01/2016,0,2,0,1,0,5,0,13,0,7,0,8,0,0,0,0,0,3,0,4,0,1,0,3,0,2,0,1
7/01/2016,0,0,0,2,0,3,0,6,0,10,0,12,0,0,0,0,0,2,0,2,0,1,0,1,0,1,0,2
8/01/2016,0,1,0,1,0,5,0,10,0,4,0,4,0,0,0,2,0,0,0,3,0,1,0,2,0,1,0,2
9/01/2016,0,1,0,5,0,7,0,10,0,5,0,3,1,1,0,3,0,0,0,1,0,0,0,2,0,1,0,2
10/01/2016,1,1,0,2,1,0,0,9,1,3,0,8,0,0,0,2,0,1,0,2,0,5,0,2,0,0,0,3
11/01/2016,0,0,0,4,0,1,0,7,0,3,0,6,0,1,0,3,0,2,0,1,0,2,0,3,0,0,0,2
12/01/2016,0,1,0,0,0,3,0,13,0,3,0,10,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1
13/01/2016,0,0,0,0,0,7,0,12,1,4,0,8,1,1,0,0,0,0,0,4,0,2,0,1,0,1,0,0
14/01/2016,0,4,0,4,0,4,0,11,1,5,0,6,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,2
15/01/2016,0,0,0,2,0,3,0,12,0,9,0,3,0,2,0,4,0,0,0,2,0,1,0,3,0,1,0,0
16/01/2016,0,2,0,1,0,8,0,6,1,7,0,9,0,1,0,3,0,1,0,2,0,3,0,1,0,1,0,2
