date,datatype,station,attributes,value
2016-01-01T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-01T00:00:00,TMAX,GHCND:ASN00085279,",,a,",36.8
2016-01-01T00:00:00,TMIN,GHCND:ASN00085279,",,a,",17.3
2016-01-02T00:00:00,PRCP,GHCND:ASN00085279,",,a,",5.4
2016-01-02T00:00:00,TMAX,GHCND:ASN00085279,",,a,",20
2016-01-02T00:00:00,TMIN,GHCND:ASN00085279,",,a,",16.1
2016-01-03T00:00:00,PRCP,GHCND:ASN00085279,",,a,",3.8
2016-01-03T00:00:00,TMAX,GHCND:ASN00085279,",,a,",18.2
2016-01-03T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15.5
2016-01-04T00:00:00,PRCP,GHCND:ASN00085279,",,a,",5.6
2016-01-04T00:00:00,TMAX,GHCND:ASN00085279,",,a,",17.6
2016-01-04T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15.4
2016-01-05T00:00:00,PRCP,GHCND:ASN00085279,",,a,",11
2016-01-05T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.3
2016-01-05T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15
2016-01-06T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-06T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.2
2016-01-06T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15.1
2016-01-07T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-07T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.5
2016-01-07T00:00:00,TMIN,GHCND:ASN00085279,",,a,",11.4
2016-01-08T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-08T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.8
2016-01-08T00:00:00,TMIN,GHCND:ASN00085279,",,a,",10.7
2016-01-09T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.8
2016-01-09T00:00:00,TMIN,GHCND:ASN00085279,",,a,",11.4
2016-01-10T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-10T00:00:00,TMAX,GHCND:ASN00085279,",,a,",25.4
2016-01-10T00:00:00,TMIN,GHCND:ASN00085279,",,a,",11.3
2016-01-11T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-11T00:00:00,TMAX,GHCND:ASN00085279,",,a,",35.6
2016-01-11T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15.3
2016-01-12T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-12T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.9
2016-01-12T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15.4
2016-01-13T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-13T00:00:00,TMAX,GHCND:ASN00085279,",,a,",35.9
2016-01-13T00:00:00,TMIN,GHCND:ASN00085279,",,a,",12.3
2016-01-14T00:00:00,TMAX,GHCND:ASN00085279,",,a,",19
2016-01-14T00:00:00,TMIN,GHCND:ASN00085279,",,a,",18.9
2016-01-15T00:00:00,PRCP,GHCND:ASN00085279,",,a,",5
2016-01-15T00:00:00,TMAX,GHCND:ASN00085279,",,a,",20
2016-01-15T00:00:00,TMIN,GHCND:ASN00085279,",,a,",9.4
2016-01-16T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.2
2016-01-16T00:00:00,TMAX,GHCND:ASN00085279,",,a,",22.6
2016-01-16T00:00:00,TMIN,GHCND:ASN00085279,",,a,",5
2016-01-17T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-17T00:00:00,TMAX,GHCND:ASN00085279,",,a,",25.7
2016-01-17T00:00:00,TMIN,GHCND:ASN00085279,",,a,",9.2
2016-01-18T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-18T00:00:00,TMAX,GHCND:ASN00085279,",,a,",33.7
2016-01-18T00:00:00,TMIN,GHCND:ASN00085279,",,a,",10.7
2016-01-19T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-19T00:00:00,TMAX,GHCND:ASN00085279,",,a,",28.9
2016-01-19T00:00:00,TMIN,GHCND:ASN00085279,",,a,",14.4
2016-01-20T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-20T00:00:00,TMAX,GHCND:ASN00085279,",,a,",22.4
2016-01-20T00:00:00,TMIN,GHCND:ASN00085279,",,a,",16.2
2016-01-21T00:00:00,PRCP,GHCND:ASN00085279,",,a,",1.4
2016-01-21T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.3
2016-01-21T00:00:00,TMIN,GHCND:ASN00085279,",,a,",14.9
2016-01-22T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-22T00:00:00,TMAX,GHCND:ASN00085279,",,a,",22.6
2016-01-22T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15.5
2016-01-23T00:00:00,PRCP,GHCND:ASN00085279,",,a,",9.8
2016-01-23T00:00:00,TMAX,GHCND:ASN00085279,",,a,",26
2016-01-23T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15.3
2016-01-24T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-24T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.5
2016-01-24T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.8
2016-01-25T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-25T00:00:00,TMAX,GHCND:ASN00085279,",,a,",21.9
2016-01-25T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15.5
2016-01-26T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-26T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.9
2016-01-26T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.1
2016-01-27T00:00:00,PRCP,GHCND:ASN00085279,",,a,",8.4
2016-01-27T00:00:00,TMAX,GHCND:ASN00085279,",,a,",25.9
2016-01-27T00:00:00,TMIN,GHCND:ASN00085279,",,a,",17.4
2016-01-28T00:00:00,PRCP,GHCND:ASN00085279,",,a,",5.2
2016-01-28T00:00:00,TMAX,GHCND:ASN00085279,",,a,",29.9
2016-01-28T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15
2016-01-29T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-29T00:00:00,TMAX,GHCND:ASN00085279,",,a,",19.7
2016-01-29T00:00:00,TMIN,GHCND:ASN00085279,",,a,",17
2016-01-30T00:00:00,PRCP,GHCND:ASN00085279,",,a,",18.8
2016-01-30T00:00:00,TMAX,GHCND:ASN00085279,",,a,",21.5
2016-01-30T00:00:00,TMIN,GHCND:ASN00085279,",,a,",9.8
2016-01-31T00:00:00,PRCP,GHCND:ASN00085279,",,a,",28.8
2016-01-31T00:00:00,TMAX,GHCND:ASN00085279,",,a,",26.3
2016-01-31T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.2
2016-02-01T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-01T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.3
2016-02-01T00:00:00,TMIN,GHCND:ASN00085279,",,a,",11.9
2016-02-02T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-02T00:00:00,TMAX,GHCND:ASN00085279,",,a,",27.4
2016-02-02T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13
2016-02-03T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.6
2016-02-03T00:00:00,TMAX,GHCND:ASN00085279,",,a,",19.8
2016-02-03T00:00:00,TMIN,GHCND:ASN00085279,",,a,",17.1
2016-02-04T00:00:00,PRCP,GHCND:ASN00085279,",,a,",5.8
